n3	n4	n2	lineage	version
COD_2139_8	NA	_045512.2	AY.94	v3.1.16
COD_2139_9	NA	_045512.2	AY.94	v3.1.16
Tubo_7	NA	_045512.2	AY.43	v3.1.16
Tubo_8	NA	_045512.2	AY.46	v3.1.16
Tubo_9	NA	_045512.2	AY.94	v3.1.16
210153	NA	_045512.2	B.1.1.7	v3.1.16
211761	NA	_045512.2	B.1.351	v3.1.16
211779	NA	_045512.2	A.28	v3.1.16
214098	NA	_045512.2	P.1	v3.1.16
217623	NA	_045512.2	AY.9.2	v3.1.16
217690	NA	_045512.2	AY.94	v3.1.16
217737	NA	_045512.2	AY.43	v3.1.16
COD_2103_10	NA	_045512.2	AY.43	v3.1.16
COD_2103_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2103_2	NA	_045512.2	B.1.351	v3.1.16
COD_2103_3	NA	_045512.2	A.28	v3.1.16
COD_2103_4	NA	_045512.2	B.1.621	v3.1.16
COD_2103_5	NA	_045512.2	P.1	v3.1.16
COD_2103_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2103_8	NA	_045512.2	AY.94	v3.1.16
COD_2103_9	NA	_045512.2	AY.94	v3.1.16
COD_2109_10	NA	_045512.2	AY.43	v3.1.16
COD_2109_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2109_2	NA	_045512.2	B.1.351	v3.1.16
COD_2109_3	NA	_045512.2	A.28	v3.1.16
COD_2109_4	NA	_045512.2	B.1.621	v3.1.16
COD_2109_5	NA	_045512.2	P.1	v3.1.16
COD_2109_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2109_8	NA	_045512.2	AY.94	v3.1.16
COD_2109_9	NA	_045512.2	AY.94	v3.1.16
COD_2117_10	NA	_045512.2	AY.43	v3.1.16
COD_2117_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2117_2	NA	_045512.2	B.1.351	v3.1.16
COD_2117_3	NA	_045512.2	A.28	v3.1.16
COD_2117_4	NA	_045512.2	B.1.621	v3.1.16
COD_2117_5	NA	_045512.2	P.1	v3.1.16
COD_2117_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2117_8	NA	_045512.2	AY.94	v3.1.16
COD_2117_9	NA	_045512.2	AY.94	v3.1.16
COD_2122_10	NA	_045512.2	AY.43	v3.1.16
COD_2122_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2122_2	NA	_045512.2	B.1.351	v3.1.16
COD_2122_3	NA	_045512.2	A.28	v3.1.16
COD_2122_4	NA	_045512.2	B.1.621	v3.1.16
COD_2122_5	NA	_045512.2	P.1	v3.1.16
COD_2122_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2122_8	NA	_045512.2	AY.94	v3.1.16
COD_2122_9	NA	_045512.2	AY.94	v3.1.16
COD_2129_10	NA	_045512.2	AY.43	v3.1.16
COD_2129_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2129_2	NA	_045512.2	B.1.351	v3.1.16
COD_2129_3	NA	_045512.2	A.28	v3.1.16
COD_2129_4	NA	_045512.2	B.1.621	v3.1.16
COD_2129_5	NA	_045512.2	P.1	v3.1.16
COD_2129_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2129_8	NA	_045512.2	AY.94	v3.1.16
COD_2129_9	NA	_045512.2	AY.94	v3.1.16
COD_2135_10	NA	_045512.2	AY.43	v3.1.16
COD_2135_1	NA	_045512.2	B.1.1.7	v3.1.16
COD_2135_2	NA	_045512.2	B.1.351	v3.1.16
COD_2135_3	NA	_045512.2	A.28	v3.1.16
COD_2135_4	NA	_045512.2	B.1.621	v3.1.16
COD_2135_5	NA	_045512.2	P.1	v3.1.16
COD_2135_6	NA	_045512.2	AY.9.2	v3.1.16
COD_2135_7	NA	_045512.2	None	v3.1.16
COD_2135_8	NA	_045512.2	AY.94	v3.1.16
COD_2135_9	NA	_045512.2	AY.94	v3.1.16
COD_2137_10	NA	_045512.2	None	v3.1.16
COD_2137_1	NA	_045512.2	B.1.1	v3.1.16
COD_2137_2	NA	_045512.2	B.1.351	v3.1.16
COD_2137_3	NA	_045512.2	A	v3.1.16
COD_2137_4	NA	_045512.2	B.1	v3.1.16
