id	Ct	tipo	plataforma
sample_6	17.17	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	23.53	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	22.44	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	24.1	PCR	Ion Torrent
sample_6	NA	N	Ion Torrent
sample_6	NA	ORF	Ion Torrent
sample_6	NA	S	Ion Torrent
sample_6	20.05	PCR	Ion Torrent
sample_6	NA	N	Ion Torrent
sample_6	NA	ORF	Ion Torrent
sample_6	NA	S	Ion Torrent
sample_6	21.95	PCR	Ion Torrent
sample_6	NA	N	Ion Torrent
sample_6	NA	ORF	Ion Torrent
sample_6	NA	S	Ion Torrent
sample_6	22.1	PCR	Ion Torrent
sample_6	NA	N	Ion Torrent
sample_6	NA	ORF	Ion Torrent
sample_6	NA	S	Ion Torrent
sample_7	20.45	PCR	Ion Torrent
sample_7	NA	N	Ion Torrent
sample_7	NA	ORF	Ion Torrent
sample_7	NA	S	Ion Torrent
sample_7	28.25	PCR	Ion Torrent
sample_7	NA	N	Ion Torrent
sample_7	NA	ORF	Ion Torrent
sample_7	NA	S	Ion Torrent
sample_7	31.3	PCR	Ion Torrent
sample_7	NA	N	Ion Torrent
sample_7	NA	ORF	Ion Torrent
sample_7	NA	S	Ion Torrent
sample_7	21.5	PCR	Ion Torrent
sample_7	NA	N	Ion Torrent
sample_7	NA	ORF	Ion Torrent
sample_7	NA	S	Ion Torrent
sample_7	20.1	PCR	Ion Torrent
sample_7	NA	N	Ion Torrent
sample_7	NA	ORF	Ion Torrent
sample_7	NA	S	Ion Torrent
sample_7	24.2	PCR	Ion Torrent
sample_7	NA	N	Ion Torrent
sample_7	NA	ORF	Ion Torrent
sample_7	NA	S	Ion Torrent
sample_7	24	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	22	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	25	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	22	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	25	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	31	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	35	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	22	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	22	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	26	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	NA	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	22.91	S	Illumina
sample_8	NA	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	22.27	S	Illumina
sample_8	NA	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	23.17	S	Illumina
sample_8	NA	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	24.36	S	Illumina
sample_8	NA	PCR	Illumina
sample_8	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	24.89	S	Illumina
sample_9	NA	PCR	Illumina
