grupo	muestra	v3.1.16	v3.1.17	v3.1.18	v3.1.19	v3.1.20
COD_2126	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2126	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2126	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2126	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2126	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2126	muestra 7	AY.44	AY.82	AY.122	AY.122	AY.122
COD_2126	muestra 8	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
COD_2126	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2126	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2127	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2127	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2127	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2127	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2127	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2127	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2127	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2127	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2127	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2129	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2129	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2129	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2129	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2129	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2129	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2129	muestra 7	None	None	None	None	None
COD_2129	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2129	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2129	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2131	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2131	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2131	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2131	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2131	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2131	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2131	muestra 7	None	None	None	None	None
COD_2131	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2131	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2131	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2132	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2132	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2132	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2132	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2132	muestra 5	P.1	P.1.14	P.1.14	P.1.14	P.1.14
COD_2132	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2132	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2132	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2132	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2132	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2134	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2134	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2134	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2134	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2134	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2134	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2134	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2134	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2134	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2134	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2135	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2135	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2135	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2135	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2135	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2135	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2135	muestra 7	B.1.1.263	None	B.1.1.263	B.1.1.263	B.1.1.263
COD_2135	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2135	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2135	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2136	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2136	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2136	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2136	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2136	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2136	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2136	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2136	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2136	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2136	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2137	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2137	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2137	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2137	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2137	muestra 5	P.1	P.1	P.1	P.1	None
